Date,Total
1/22/20,17
1/23/20,18
1/24/20,26
1/25/20,42
1/26/20,56
1/27/20,82
1/28/20,131
1/29/20,133
1/30/20,171
1/31/20,213
2/1/20,259
2/2/20,361
2/3/20,425
2/4/20,491
2/5/20,563
2/6/20,633
2/7/20,718
2/8/20,805
2/9/20,905
2/10/20,1012
2/11/20,1112
2/12/20,1117
2/13/20,1369
2/14/20,1521
2/15/20,1663
2/16/20,1766
2/17/20,1864
2/18/20,2003
2/19/20,2116
2/20/20,2237
2/21/20,2237
2/22/20,2442
2/23/20,2444
2/24/20,2594
2/25/20,2664
2/26/20,2716
2/27/20,2745
2/28/20,2789
2/29/20,2836
3/1/20,2871
3/2/20,2913
3/3/20,2946
3/4/20,2982
3/5/20,3014
3/6/20,3043
3/7/20,3071
3/8/20,3099
3/9/20,3122
3/10/20,3138
3/11/20,3160
3/12/20,3171
3/13/20,3179
3/14/20,3192
3/15/20,3202
3/16/20,3216
3/17/20,3229
3/18/20,3240
3/19/20,3248
3/20/20,3252
3/21/20,3258
3/22/20,3273
3/23/20,3273
3/24/20,3280
3/25/20,3284
3/26/20,3290
3/27/20,3295
3/28/20,3298
3/29/20,3303
3/30/20,3307
3/31/20,3308
4/1/20,3315
4/2/20,3321
4/3/20,3325
4/4/20,3329
4/5/20,3332
4/6/20,3334
4/7/20,3334
4/8/20,3336
4/9/20,3338
4/10/20,3339
4/11/20,3342
4/12/20,3342
4/13/20,3344
4/14/20,3344
4/15/20,3345
4/16/20,3345
4/17/20,4635
4/18/20,4635
4/19/20,4635
4/20/20,4635
4/21/20,4635
4/22/20,4635
4/23/20,4635
4/24/20,4635
4/25/20,4635
4/26/20,4636
4/27/20,4636
4/28/20,4636
4/29/20,4636
4/30/20,4636
5/1/20,4636
5/2/20,4636
5/3/20,4636
5/4/20,4636
5/5/20,4636
5/6/20,4636
5/7/20,4636
5/8/20,4636
5/9/20,4636
5/10/20,4636
5/11/20,4636
5/12/20,4636
5/13/20,4636
5/14/20,4636
5/15/20,4636
5/16/20,4637
5/17/20,4637
5/18/20,4637
5/19/20,4637
5/20/20,4637
5/21/20,4637
5/22/20,4637
5/23/20,4637
5/24/20,4637
5/25/20,4637
5/26/20,4637
5/27/20,4637
5/28/20,4637
5/29/20,4637
5/30/20,4637
5/31/20,4637
6/1/20,4637
6/2/20,4637
6/3/20,4637
6/4/20,4637
6/5/20,4637
6/6/20,4637
6/7/20,4637
6/8/20,4637
6/9/20,4637
6/10/20,4637
6/11/20,4637
6/12/20,4637
6/13/20,4637
6/14/20,4637
6/15/20,4637
6/16/20,4637
6/17/20,4637
6/18/20,4637
6/19/20,4637
6/20/20,4638
6/21/20,4638
6/22/20,4638
6/23/20,4639
6/24/20,4639
6/25/20,4640
6/26/20,4640
6/27/20,4640
6/28/20,4640
6/29/20,4640
6/30/20,4640
7/1/20,4640
7/2/20,4640
7/3/20,4640
7/4/20,4640
7/5/20,4640
7/6/20,4640
7/7/20,4640
7/8/20,4640
7/9/20,4640
7/10/20,4640
7/11/20,4640
7/12/20,4640
7/13/20,4640
7/14/20,4641
7/15/20,4643
7/16/20,4643
7/17/20,4644
7/18/20,4645
7/19/20,4645
7/20/20,4645
7/21/20,4647
7/22/20,4647
7/23/20,4648
7/24/20,4649
7/25/20,4651
7/26/20,4651
7/27/20,4655
7/28/20,4656
7/29/20,4657
7/30/20,4658
7/31/20,4660
8/1/20,4666
8/2/20,4668
8/3/20,4671
8/4/20,4675
8/5/20,4676
8/6/20,4679
8/7/20,4680
