Date,Total
1/22/20,28
1/23/20,30
1/24/20,35
1/25/20,38
1/26/20,48
1/27/20,57
1/28/20,98
1/29/20,117
1/30/20,131
1/31/20,200
2/1/20,254
2/2/20,431
2/3/20,571
2/4/20,781
2/5/20,1037
2/6/20,1383
2/7/20,1876
2/8/20,2421
2/9/20,3018
2/10/20,3676
2/11/20,4366
2/12/20,4761
2/13/20,5857
2/14/20,7574
2/15/20,8870
2/16/20,10299
2/17/20,11955
2/18/20,13671
2/19/20,15358
2/20/20,17381
2/21/20,18025
2/22/20,21980
2/23/20,22427
2/24/20,24233
2/25/20,26868
2/26/20,29217
2/27/20,31998
2/28/20,35354
2/29/20,38304
3/1/20,41116
3/2/20,43785
3/3/20,46357
3/4/20,48887
3/5/20,51168
3/6/20,52797
3/7/20,54385
3/8/20,56227
3/9/20,57628
3/10/20,58990
3/11/20,60449
3/12/20,61704
3/13/20,62999
3/14/20,64449
3/15/20,65806
3/16/20,66694
3/17/20,67582
3/18/20,68539
3/19/20,69318
3/20/20,70047
3/21/20,70638
3/22/20,71143
3/23/20,71593
3/24/20,72059
3/25/20,72552
3/26/20,72959
3/27/20,73498
3/28/20,73875
3/29/20,74357
3/30/20,74698
3/31/20,74980
4/1/20,75179
4/2/20,75337
4/3/20,75532
4/4/20,75717
4/5/20,75977
4/6/20,76080
4/7/20,76180
4/8/20,76335
4/9/20,76444
4/10/20,76556
4/11/20,76641
4/12/20,76718
4/13/20,76800
4/14/20,76958
4/15/20,77067
4/16/20,77157
4/17/20,76306
4/18/20,76368
4/19/20,76443
4/20/20,76496
4/21/20,76548
4/22/20,76609
4/23/20,76727
4/24/20,76853
4/25/20,76918
4/26/20,77019
4/27/20,77113
4/28/20,77160
4/29/20,77211
4/30/20,77259
5/1/20,77308
5/2/20,77321
5/3/20,77419
5/4/20,77525
5/5/20,77603
5/6/20,77662
5/7/20,77710
5/8/20,77726
5/9/20,77860
5/10/20,77900
5/11/20,77931
5/12/20,77955
5/13/20,77979
5/14/20,77994
5/15/20,78014
5/16/20,78026
5/17/20,78039
5/18/20,78043
5/19/20,78043
5/20/20,78043
5/21/20,78043
5/22/20,78065
5/23/20,78068
5/24/20,78076
5/25/20,78085
5/26/20,78091
5/27/20,78100
5/28/20,78104
5/29/20,78115
5/30/20,78119
5/31/20,78122
6/1/20,78131
6/2/20,78133
6/3/20,78137
6/4/20,78148
6/5/20,78153
6/6/20,78157
6/7/20,78167
6/8/20,78177
6/9/20,78184
6/10/20,78189
6/11/20,78197
6/12/20,78205
6/13/20,78208
6/14/20,78215
6/15/20,78222
6/16/20,78226
6/17/20,78243
6/18/20,78248
6/19/20,78248
6/20/20,78267
6/21/20,78268
6/22/20,78280
6/23/20,78288
6/24/20,78295
6/25/20,78305
6/26/20,78313
6/27/20,78324
6/28/20,78342
6/29/20,78352
6/30/20,78365
7/1/20,78383
7/2/20,78398
7/3/20,78413
7/4/20,78439
7/5/20,78451
7/6/20,78458
7/7/20,78487
7/8/20,78535
7/9/20,78535
7/10/20,78535
7/11/20,78609
7/12/20,78640
7/13/20,78640
7/14/20,78700
7/15/20,78738
7/16/20,78771
7/17/20,78797
7/18/20,78825
7/19/20,78870
7/20/20,78895
7/21/20,78937
7/22/20,78977
7/23/20,79030
7/24/20,79074
7/25/20,79141
7/26/20,79191
7/27/20,79198
7/28/20,79249
7/29/20,79326
7/30/20,79412
7/31/20,79519
8/1/20,79639
8/2/20,79750
8/3/20,79845
8/4/20,79966
8/5/20,80149
8/6/20,80324
8/7/20,80520
